Symbol
QQQ
AAPL
TSLA
NFLX
AAPL 
MSFT 
NVDA 
ADBE 
PYPL
INTC
CSCO
AVGO 
QCOM
TXN
AMD
ZM
INTU 
FISV
ADP 
MU
